train/reward,time/fps,train/learning_rate,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss,time/total_timesteps,time/episodes
-0.05456104,104,0.001,4530,57,0.1807255568735252,10.958797949986742,6040,4
-0.05456104,88,0.001,10570,136,0.023467968012644162,8.632798261831928,12080,8
-0.05456104,84,0.001,16610,214,0.031210901368014663,6.064545036151709,18120,12
-0.05456104,82,0.001,22650,292,0.02054193982413495,4.257968635590661,24160,16
-0.05456104,80,0.001,28690,373,0.011306549626593755,2.9284534070665473,30200,20
-0.05456104,80,0.001,34730,450,0.0066089563640698,1.9681781219330845,36240,24
-0.05456104,80,0.001,40770,526,0.002434147272755497,1.2667720348234999,42280,28
-0.05456104,80,0.001,46810,603,0.0060637968830958575,0.7632634957697217,48320,32
-0.05456104,79,0.001,52850,680,0.0014931454367562511,0.44829190965519833,54360,36
-0.05456104,79,0.001,58890,756,0.0007171372334867568,0.20093339010826405,60400,40
-0.05456104,79,0.001,64930,833,0.0005349138336848246,0.025716262552208755,66440,44
